2025-11-06 15:38:20 [info] L-Connect swap -> MB_on
2025-11-06 16:27:22 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:27:37 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:27:53 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:28:08 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:28:23 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:28:38 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:28:54 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:29:09 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:29:24 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:29:40 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:29:55 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:30:10 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:30:25 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:30:41 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:30:56 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:31:11 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:31:26 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:31:42 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:31:57 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:32:12 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:32:27 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:32:43 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:32:58 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:33:13 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:33:28 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:33:44 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:33:59 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:34:14 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:34:30 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:34:45 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:35:00 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:35:15 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:35:31 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:35:46 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:36:01 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:36:17 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:36:32 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:36:47 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:37:02 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:37:18 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:37:33 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:37:48 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:38:03 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:38:19 [info] hb state=normal cpu=12 gpu=0 game=False
2025-11-06 16:38:34 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:38:49 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:39:05 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:39:20 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:39:35 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:39:50 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:40:06 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:40:21 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:40:36 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:40:52 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:41:07 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:41:22 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:41:37 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:41:53 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:42:08 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:42:23 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:42:38 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:42:54 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:43:09 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:43:24 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:43:39 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:43:55 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:44:10 [info] hb state=normal cpu=12 gpu=0 game=False
2025-11-06 16:44:25 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:44:40 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:44:56 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:45:11 [info] hb state=normal cpu=7 gpu=0 game=False
